AQS Code	CAMS	TCEQ Region	Reg#	EPA Reg	Site Name	Street Address	Urban Area	Latitude	Longitude	Elevation	Timezone	Params	Activation Date	Deactivation Date	Maintained By	Owned By
481870504	0504	SAN ANTONIO	13	N	New Braunfels Airport	2090 Airport Rd 	SAN ANTONIO, TX	29.7041667	-98.0288889	195.0	CENTRAL	12	30-Aug-2002		Weston Solutions	Alamo Area Council of Governments
481870506	0506	SAN ANTONIO	13	N	Seguin Outdoor Learning Center	1865 Hwy 90 East 	SAN ANTONIO, TX	29.5886110	-97.9322220	146.0	CENTRAL	12	26-Mar-2003		Weston Solutions	Alamo Area Council of Governments
481875004	5004	SAN ANTONIO	13	N	New Braunfels Airport KBAZ	New Braunfels Municipal Airport 	SAN ANTONIO, TX	29.7086111	-98.0452778	195.0	CENTRAL		22-Jan-2003	25-Feb-2022	National Weather Service	National Weather Service
481890001		LUBBOCK	02	Y	Plainview High School	Plainview High School 	NOT IN AN URBAN AREA	34.1808330	-101.7363890	1026.0	CENTRAL		01-Jan-1975	31-Dec-1981	TCEQ	TCEQ
481990002		BEAUMONT	10	Y	Kountze City Hall	City Hall 	NOT IN AN URBAN AREA	30.3813890	-94.3155560	0	CENTRAL		01-Jan-1989	31-Dec-1993	TCEQ	TCEQ
482010001		HOUSTON	12	Y	Roseland Park	Roseland Drive &#x28;Roseland Park&#x29; 	NOT IN AN URBAN AREA	29.7230560	-94.9458330	6.0	CENTRAL		01-Jan-1967	11-Aug-1983	TCEQ	TCEQ
482010002		HOUSTON	12	Y	Park Court Water Tower	1200 Park Ct &#x28;Water Tower&#x29; 	NOT IN AN URBAN AREA	29.7494440	-94.9805560	6.0	CENTRAL		01-Jan-1967	27-Dec-1984	TCEQ	TCEQ
482010003		HOUSTON	12	Y	Bayway Drive Fire Station	7200 Bayway Dr &#x28;Fire Station&#x29; 	NOT IN AN URBAN AREA	29.7730560	-95.0291670	6.0	CENTRAL		01-Jan-1970	31-Dec-1981	TCEQ	TCEQ
482010004		HOUSTON	12	Y	McElroy Park	&#x28;McElroy Park&#x29; 	HOUSTON, TX	29.7702780	-95.0119440	10.0	CENTRAL		01-Dec-1979	15-Jul-1997	TCEQ	TCEQ
482010005		HOUSTON	12	Y	Spring High School	19428 IH 45 &#x28;Spring High School roof&#x29; 	NOT IN AN URBAN AREA	30.0519440	-95.4308330	41.0	CENTRAL		01-Jan-1972	31-Dec-1981	TCEQ	TCEQ
482010006		HOUSTON	12	Y	Channelview High School	828 Sheldon Rd &#x28;Channelview High School&#x29; 	NOT IN AN URBAN AREA	29.7911110	-95.1241670	15.0	CENTRAL		01-Jan-1972	31-Dec-1981	TCEQ	TCEQ
482010007		HOUSTON	12	Y	Houston City Health Department	115 N Macgregor St &#x28;City Health Dept&#x29; 	HOUSTON, TX	29.7208330	-95.3838890	30.0	CENTRAL		01-Jan-1968	27-Jun-1995	City of Houston Health Department	TCEQ
482010008		HOUSTON	12	Y	Aberdeen	3838 Aberdeen 	NOT IN AN URBAN AREA	29.7000000	-95.4400000	18.0	CENTRAL		01-Jan-1967	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010009		HOUSTON	12	Y	Bellaire	6902 Bellaire at Bentliff 	NOT IN AN URBAN AREA	29.7100000	-95.5119440	18.0	CENTRAL		01-Jan-1967	22-Apr-1988	City of Houston Health Department	City of Houston Health Department
482010010		HOUSTON	12	Y	Alabama	3735 W Alabama at Cummings 	NOT IN AN URBAN AREA	29.7408330	-95.4391670	18.0	CENTRAL		01-Jan-1967	27-Aug-1989	City of Houston Health Department	City of Houston Health Department
482010011		HOUSTON	12	Y	Bingle-Malibu	4420 Bingle at Malibu 	NOT IN AN URBAN AREA	29.8200000	-95.4838890	18.0	CENTRAL		01-Jan-1968	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010012		HOUSTON	12	Y	Fulton	10413 Fulton at Sunnyside 	NOT IN AN URBAN AREA	29.8561110	-95.3816670	18.0	CENTRAL		01-Jan-1967	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010013		HOUSTON	12	Y	North Wayside	7330 N Wayside 	NOT IN AN URBAN AREA	29.8272220	-95.2847220	18.0	CENTRAL		01-Jan-1967	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010014		HOUSTON	12	Y	Pearl	805 Pearl 	NOT IN AN URBAN AREA	29.7747220	-95.2822220	18.0	CENTRAL		01-Jan-1968	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010015		HOUSTON	12	Y	Market	12759 Market 	NOT IN AN URBAN AREA	29.7694440	-95.2038890	18.0	CENTRAL		01-Jan-1968	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010016		HOUSTON	12	Y	Vicksburg	13349 Vicksburg at Uvalde 	NOT IN AN URBAN AREA	29.7777780	-95.1875000	18.0	CENTRAL		01-Jan-1967	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010017		HOUSTON	12	Y	Clinton-Federal	12550 Clinton at Federal 	NOT IN AN URBAN AREA	29.7330560	-95.2130560	18.0	CENTRAL		01-Jan-1973	13-Apr-1983	City of Houston Health Department	City of Houston Health Department
482010018		HOUSTON	12	Y	Bulk Materials Plant	Bulk Materials Handling Plant 	NOT IN AN URBAN AREA	29.7472220	-95.1750000	18.0	CENTRAL		01-Jan-1973	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010019		HOUSTON	12	Y	Port Houston Terminal Office	Port Houston Terminal office 	NOT IN AN URBAN AREA	29.7458330	-95.2027780	18.0	CENTRAL		01-Jan-1972	22-Apr-1988	City of Houston Health Department	City of Houston Health Department
482010020		HOUSTON	12	Y	Bethlehem Steel	Jacinto Port Sheldon Rd &#x28;Bethlehem Steel&#x29; 	NOT IN AN URBAN AREA	29.7519440	-95.1030560	18.0	CENTRAL		01-Jan-1973	13-Apr-1983	City of Houston Health Department	City of Houston Health Department
482010021		HOUSTON	12	Y	Brady Island	Cypress St &#x28;Brady Island&#x29; 	NOT IN AN URBAN AREA	29.7202780	-95.2750000	18.0	CENTRAL		01-Jan-1976	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010023		HOUSTON	12	Y	HL&amp;P Bertron Station	Hl &amp; P Bertron Station &#x28;Miller cut-off&#x29; 	NOT IN AN URBAN AREA	29.7250000	-95.0527780	18.0	CENTRAL		01-Jan-1973	13-Apr-1983	City of Houston Health Department	City of Houston Health Department
482010024	0008, 0108, 0150	HOUSTON	12	Y	Houston Aldine	4510 1&#x2f;2 Aldine Mail Rd 	HOUSTON, TX	29.9010205	-95.3261415		CENTRAL	19	01-Jan-1974		TCEQ	TCEQ
482010025		HOUSTON	12	Y	Bulk Materials Plant 2	Bulk Materials Handling Plant 	NOT IN AN URBAN AREA	29.7486110	-95.1644440	18.0	CENTRAL		01-Jan-1979	13-Apr-1983	City of Houston Health Department	City of Houston Health Department
482010026	0015, 0115	HOUSTON	12	Y	Channelview	1405 Sheldon Road 	HOUSTON, TX	29.8027155	-95.1255162	11.9	CENTRAL	59	01-Jan-1980		TCEQ	TCEQ
482010029	0026, 0110, 0154	HOUSTON	12	Y	Northwest Harris County	16822 Kitzman 	HOUSTON, TX	30.0395186	-95.6739571		CENTRAL	14	01-Jan-1981		TCEQ	TCEQ
482010030	1030	HOUSTON	12	Y	Channelview North	NW Corner of US 90 &amp; Sheldon Rd 	HOUSTON, TX	29.8542881	-95.1287108	12.0	CENTRAL		06-Dec-2005	02-Oct-2007	TCEQ	TCEQ
